age;Dépt;Sexe;Fratrie;Établissement;Revenu (€)
8;93;G;4;École Pu.;40000
7;92;F;1;École Pr.;51400
12;92;F;3;Coll. Pr.;39100
12;94;G;4;Coll. Pu.;60300
14;94;F;3;Coll. Pu.;60900
11;92;G;3;Coll. Pu.;78500
10;94;F;1;Coll Pr.;94100
14;94;F;3;Coll. Pu.;69000
11;93;G;5;Coll. Pu.;74100
14;92;G;2;Coll Pr.;96800
11;94;G;3;Coll. Pu.;99600
6;94;F;4;École Pu.;59100
8;93;G;1;École Pu.;62300
9;93;F;2;École Pr.;88000
13;94;F;5;Coll Pr.;58600
7;92;F;2;École Pu.;82600
10;92;G;1;École Pu.;66700
11;92;G;3;École Pu.;96900
10;92;F;4;Coll Pr.;83900
9;92;G;1;École Pu.;54500
10;93;F;1;École Pr.;49000
14;94;G;1;Coll. Pu.;37500
8;94;F;4;École Pu.;78100
13;94;G;3;Coll. Pu.;90100
13;92;G;2;Coll. Pu.;92800
